"Identyfikator Produktu (ID)";"Indeks produktu";"Atrybut (Nazwa:Typ:Pozycja)*";"Wartość (Wartość:Pozycja)*"
66;"";"Rozmiar:select:1";"M"
66;"";"Rozmiar:select:1";"L"
66;"";"Rozmiar:select:1";"XL"
66;"";"Rozmiar:select:1";"XXL"
67;"";"Rozmiar:select:1";"S"
67;"";"Rozmiar:select:1";"M"
67;"";"Rozmiar:select:1";"L"
67;"";"Rozmiar:select:1";"XL"
67;"";"Rozmiar:select:1";"XXL"
68;"";"Rozmiar:select:1";"S"
68;"";"Rozmiar:select:1";"M"
68;"";"Rozmiar:select:1";"L"
68;"";"Rozmiar:select:1";"XL"
68;"";"Rozmiar:select:1";"XXL"
69;"";"Rozmiar:select:1";"M"
69;"";"Rozmiar:select:1";"L"
69;"";"Rozmiar:select:1";"XL"
69;"";"Rozmiar:select:1";"XXL"
70;"";"Rozmiar:select:1";"M"
70;"";"Rozmiar:select:1";"L"
70;"";"Rozmiar:select:1";"XL"
70;"";"Rozmiar:select:1";"XXL"
71;"";"Rozmiar:select:1";"S"
71;"";"Rozmiar:select:1";"M"
71;"";"Rozmiar:select:1";"L"
71;"";"Rozmiar:select:1";"XL"
71;"";"Rozmiar:select:1";"XXL"
72;"";"Rozmiar:select:1";"S"
72;"";"Rozmiar:select:1";"M"
72;"";"Rozmiar:select:1";"L"
72;"";"Rozmiar:select:1";"XL"
73;"";"Rozmiar:select:1";"S"
73;"";"Rozmiar:select:1";"M"
73;"";"Rozmiar:select:1";"L"
73;"";"Rozmiar:select:1";"XL"
73;"";"Rozmiar:select:1";"XXL"
74;"";"Rozmiar:select:1";"S"
74;"";"Rozmiar:select:1";"M"
74;"";"Rozmiar:select:1";"L"
74;"";"Rozmiar:select:1";"XL"
74;"";"Rozmiar:select:1";"XXL"
75;"";"Rozmiar:select:1";"S"
75;"";"Rozmiar:select:1";"M"
75;"";"Rozmiar:select:1";"L"
75;"";"Rozmiar:select:1";"XL"
75;"";"Rozmiar:select:1";"XXL"
76;"";"Rozmiar:select:1";"S"
76;"";"Rozmiar:select:1";"M"
76;"";"Rozmiar:select:1";"L"
76;"";"Rozmiar:select:1";"XL"
76;"";"Rozmiar:select:1";"XXL"
77;"";"Rozmiar:select:1";"S"
77;"";"Rozmiar:select:1";"M"
77;"";"Rozmiar:select:1";"L"
77;"";"Rozmiar:select:1";"XL"
77;"";"Rozmiar:select:1";"XXL"
78;"";"Rozmiar:select:1";"S"
78;"";"Rozmiar:select:1";"M"
78;"";"Rozmiar:select:1";"L"
78;"";"Rozmiar:select:1";"XL"
78;"";"Rozmiar:select:1";"XXL"
79;"";"Rozmiar:select:1";"S"
79;"";"Rozmiar:select:1";"M"
79;"";"Rozmiar:select:1";"L"
79;"";"Rozmiar:select:1";"XL"
79;"";"Rozmiar:select:1";"XXL"
79;"";"Rozmiar:select:1";"XXXL"
80;"";"Rozmiar:select:1";"S"
80;"";"Rozmiar:select:1";"M"
80;"";"Rozmiar:select:1";"L"
80;"";"Rozmiar:select:1";"XL"
80;"";"Rozmiar:select:1";"XXL"
80;"";"Rozmiar:select:1";"XXXL"
81;"";"Rozmiar:select:1";"S"
81;"";"Rozmiar:select:1";"M"
81;"";"Rozmiar:select:1";"L"
81;"";"Rozmiar:select:1";"XL"
81;"";"Rozmiar:select:1";"XXL"
81;"";"Rozmiar:select:1";"XXXL"
82;"";"Rozmiar:select:1";"S"
82;"";"Rozmiar:select:1";"M"
82;"";"Rozmiar:select:1";"L"
82;"";"Rozmiar:select:1";"XL"
82;"";"Rozmiar:select:1";"XXL"
82;"";"Rozmiar:select:1";"XXXL"
83;"";"Rozmiar:select:1";"S"
83;"";"Rozmiar:select:1";"M"
83;"";"Rozmiar:select:1";"L"
83;"";"Rozmiar:select:1";"XL"
83;"";"Rozmiar:select:1";"XXL"
84;"";"Rozmiar:select:1";"S"
84;"";"Rozmiar:select:1";"M"
84;"";"Rozmiar:select:1";"L"
84;"";"Rozmiar:select:1";"XL"
84;"";"Rozmiar:select:1";"XXL"
85;"";"Rozmiar:select:1";"S"
85;"";"Rozmiar:select:1";"M"
85;"";"Rozmiar:select:1";"L"
85;"";"Rozmiar:select:1";"XL"
85;"";"Rozmiar:select:1";"XXL"
85;"";"Rozmiar:select:1";"XXXL"
86;"";"Rozmiar:select:1";"M"
86;"";"Rozmiar:select:1";"L"
86;"";"Rozmiar:select:1";"XL"
86;"";"Rozmiar:select:1";"XXL"
86;"";"Rozmiar:select:1";"XXXL"
87;"";"Rozmiar:select:1";"M"
87;"";"Rozmiar:select:1";"L"
87;"";"Rozmiar:select:1";"XL"
87;"";"Rozmiar:select:1";"XXL"
87;"";"Rozmiar:select:1";"XXXL"
88;"";"Rozmiar:select:1";"M"
88;"";"Rozmiar:select:1";"L"
88;"";"Rozmiar:select:1";"XL"
88;"";"Rozmiar:select:1";"XXL"
88;"";"Rozmiar:select:1";"XXXL"
89;"";"Rozmiar:select:1";"M"
89;"";"Rozmiar:select:1";"L"
89;"";"Rozmiar:select:1";"XL"
89;"";"Rozmiar:select:1";"XXL"
89;"";"Rozmiar:select:1";"XXXL"
90;"";"Rozmiar:select:1";"S"
90;"";"Rozmiar:select:1";"M"
90;"";"Rozmiar:select:1";"L"
90;"";"Rozmiar:select:1";"XL"
90;"";"Rozmiar:select:1";"XXL"
91;"";"Rozmiar:select:1";"29/32"
91;"";"Rozmiar:select:1";"30/32"
91;"";"Rozmiar:select:1";"31/32"
91;"";"Rozmiar:select:1";"31/34"
91;"";"Rozmiar:select:1";"32/32"
91;"";"Rozmiar:select:1";"32/34"
91;"";"Rozmiar:select:1";"33/32"
91;"";"Rozmiar:select:1";"33/34"
91;"";"Rozmiar:select:1";"33/36"
91;"";"Rozmiar:select:1";"34/32"
91;"";"Rozmiar:select:1";"34/34"
91;"";"Rozmiar:select:1";"34/36"
91;"";"Rozmiar:select:1";"36/32"
91;"";"Rozmiar:select:1";"36/34"
92;"";"Rozmiar:select:1";"29/32"
92;"";"Rozmiar:select:1";"30/32"
92;"";"Rozmiar:select:1";"31/32"
92;"";"Rozmiar:select:1";"31/34"
92;"";"Rozmiar:select:1";"32/32"
92;"";"Rozmiar:select:1";"32/34"
92;"";"Rozmiar:select:1";"33/32"
92;"";"Rozmiar:select:1";"33/34"
92;"";"Rozmiar:select:1";"33/36"
92;"";"Rozmiar:select:1";"34/32"
92;"";"Rozmiar:select:1";"34/34"
92;"";"Rozmiar:select:1";"34/36"
92;"";"Rozmiar:select:1";"36/32"
92;"";"Rozmiar:select:1";"36/34"
93;"";"Rozmiar:select:1";"29/32"
93;"";"Rozmiar:select:1";"30/32"
93;"";"Rozmiar:select:1";"31/32"
93;"";"Rozmiar:select:1";"31/34"
93;"";"Rozmiar:select:1";"32/32"
93;"";"Rozmiar:select:1";"32/34"
93;"";"Rozmiar:select:1";"33/32"
93;"";"Rozmiar:select:1";"33/34"
93;"";"Rozmiar:select:1";"33/36"
93;"";"Rozmiar:select:1";"34/32"
93;"";"Rozmiar:select:1";"34/34"
93;"";"Rozmiar:select:1";"34/36"
93;"";"Rozmiar:select:1";"36/32"
93;"";"Rozmiar:select:1";"36/34"
94;"";"Rozmiar:select:1";"29/32"
94;"";"Rozmiar:select:1";"30/32"
94;"";"Rozmiar:select:1";"31/32"
94;"";"Rozmiar:select:1";"31/34"
94;"";"Rozmiar:select:1";"32/32"
94;"";"Rozmiar:select:1";"32/34"
94;"";"Rozmiar:select:1";"33/32"
94;"";"Rozmiar:select:1";"33/34"
94;"";"Rozmiar:select:1";"33/36"
94;"";"Rozmiar:select:1";"34/32"
94;"";"Rozmiar:select:1";"34/34"
94;"";"Rozmiar:select:1";"34/36"
94;"";"Rozmiar:select:1";"36/32"
94;"";"Rozmiar:select:1";"36/34"
95;"";"Rozmiar:select:1";"29/32"
95;"";"Rozmiar:select:1";"30/32"
95;"";"Rozmiar:select:1";"31/32"
95;"";"Rozmiar:select:1";"31/34"
95;"";"Rozmiar:select:1";"32/32"
95;"";"Rozmiar:select:1";"32/34"
95;"";"Rozmiar:select:1";"33/32"
95;"";"Rozmiar:select:1";"33/34"
95;"";"Rozmiar:select:1";"33/36"
95;"";"Rozmiar:select:1";"34/32"
95;"";"Rozmiar:select:1";"34/34"
95;"";"Rozmiar:select:1";"34/36"
95;"";"Rozmiar:select:1";"36/32"
95;"";"Rozmiar:select:1";"36/34"
96;"";"Rozmiar:select:1";"29/32"
96;"";"Rozmiar:select:1";"30/32"
96;"";"Rozmiar:select:1";"31/32"
96;"";"Rozmiar:select:1";"31/34"
96;"";"Rozmiar:select:1";"32/32"
96;"";"Rozmiar:select:1";"32/34"
96;"";"Rozmiar:select:1";"33/32"
96;"";"Rozmiar:select:1";"33/34"
