"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena bez podatku. (netto)"
232;1;"Koszula o kroju slim fit";"TataKobasa";"299,90"
233;1;"Koszula o kroju slim fit";"TataKobasa";"299,90"
234;1;"VISTULA|PZPN - Koszula o kroju super slim";"TataKobasa";"399,90"
235;1;"Koszula slim fit w kratę";"TataKobasa";"349,90"
236;1;"Sztruksowa koszula relaxed fit w kratę";"TataKobasa";"299,90"
237;1;"Flanelowa koszula relaxed fit w kratę";"TataKobasa";"299,90"
238;1;"Koszula o kroju super slim w kratę";"TataKobasa";"249,90"
239;1;"Koszula o kroju super slim w kratę";"TataKobasa";"249,90"
240;1;"Koszula o kroju super slim w kratę";"TataKobasa";"299,90"
241;1;"Koszula o kroju regular w prążek";"TataKobasa";"299,90"
242;1;"Koszula o kroju regular w kratę";"TataKobasa";"299,90"
243;1;"Sztruksowa koszula relaxed fit";"TataKobasa";"249,90"
244;1;"Koszula o kroju slim fit w mikrowzór";"TataKobasa";"349,90"
245;1;"Koszula o kroju slim fit w prążek";"TataKobasa";"299,90"
246;1;"Koszula o kroju slim fit w mikrowzór";"TataKobasa";"349,90"
247;1;"Koszula o kroju slim fit w kratę";"TataKobasa";"399,90"
248;1;"Koszula o kroju slim fit w kratę";"TataKobasa";"399,90"
249;1;"Koszula o kroju slim fit w kratę";"TataKobasa";"249,90"
250;1;"Koszula o kroju slim fit w mikrowzór";"TataKobasa";"249,90"
251;1;"Koszula o kroju slim fit w kratę";"TataKobasa";"349,90"
252;1;"Koszula o kroju slim fit w mikrowzór";"TataKobasa";"299,90"
253;1;"Flanelowa koszula o kroju relaxed fit";"TataKobasa";"299,90"
254;1;"Flanelowa koszula o kroju slim fit";"TataKobasa";"299,90"
255;1;"Flanelowa koszula o kroju relaxed fit";"TataKobasa";"299,90"
256;1;"Longsleeve ze strukturalnej dzianiny";"TataKobasa";"199,90"
257;1;"Longsleeve ze strukturalnej dzianiny";"TataKobasa";"199,90"
258;1;"Longsleeve ze strukturalnej dzianiny";"TataKobasa";"199,90"
259;1;"T-shirt ze stójką";"TataKobasa";"119,90"
260;1;"T-shirt ze stójką";"TataKobasa";"119,90"
261;1;"T-shirt z logo";"TataKobasa";"119,90"
262;1;"T-shirt z logo";"TataKobasa";"119,90"
263;1;"T-shirt z kieszonką";"TataKobasa";"149,90"
264;1;"T-shirt w mikrowzór";"TataKobasa";"199,90"
265;1;"T-shirt w mikrowzór";"TataKobasa";"199,90"
266;1;"Bawełniany t-shirt";"TataKobasa";"119,90"
267;1;"Bawełniany t-shirt";"TataKobasa";"119,90"
268;1;"T-shirt basic z logo";"TataKobasa";"99,90"
269;1;"T-shirt z bawełny merceryzowanej";"TataKobasa";"149,90"
270;1;"T-shirt z bawełny merceryzowanej";"TataKobasa";"149,90"
271;1;"T-shirt z logo";"TataKobasa";"99,90"
272;1;"T-shirt z logo";"TataKobasa";"99,90"
273;1;"T-shirt z logo";"TataKobasa";"99,90"
274;1;"T-shirt basic dopasowany";"TataKobasa";"149,90"
275;1;"T-shirt basic dopasowany";"TataKobasa";"149,90"
276;1;"T-shirt basic dopasowany";"TataKobasa";"149,90"
277;1;"T-shirt basic dopasowany";"TataKobasa";"149,90"
278;1;"T-shirt basic dopasowany";"TataKobasa";"99,00"
279;1;"T-shirt basic z długim rękawem";"TataKobasa";"129,00"
280;1;"T-shirt z nadrukiem";"TataKobasa";"149,90"
281;1;"T-shirt z nadrukiem";"TataKobasa";"149,90"
282;1;"Klasyczne polo";"TataKobasa";"179,90"
283;1;"Klasyczne polo";"TataKobasa";"179,90"
284;1;"Klasyczne polo z logo";"TataKobasa";"129,90"
285;1;"Klasyczne polo z logo";"TataKobasa";"119,90"
286;1;"Klasyczne polo z logo";"TataKobasa";"129,90"
287;1;"Klasyczne polo z logo";"TataKobasa";"119,90"
288;1;"Klasyczne polo z logo";"TataKobasa";"119,90"
289;1;"Klasyczne polo z logo";"TataKobasa";"119,90"
290;1;"Klasyczne polo z logo";"TataKobasa";"129,90"
291;1;"Klasyczne polo z logo";"TataKobasa";"129,90"
292;1;"VISTULA|PZPN - Polo z wełny merino";"TataKobasa";"299,90"
293;1;"VISTULA|PZPN - Skórzane sneakersy";"TataKobasa";"549,90"
294;1;"Skórzane sneakersy";"TataKobasa";"499,90"
295;1;"Skórzane sneakersy";"TataKobasa";"499,90"
296;1;"Zamszowe półbuty";"TataKobasa";"549,90"
297;1;"Skórzane trzewiki";"TataKobasa";"499,90"
298;1;"Skórzane trzewiki";"TataKobasa";"499,90"
299;1;"Zamszowe sztyblety";"TataKobasa";"599,90"
300;1;"Zamszowe trzewiki";"TataKobasa";"599,90"
301;1;"Zamszowe trzewiki";"TataKobasa";"599,90"
302;1;"Skórzane trzewiki";"TataKobasa";"599,90"
303;1;"Skórzane trzewiki";"TataKobasa";"599,90"
304;1;"Zamszowe trzewiki";"TataKobasa";"549,90"
305;1;"Skórzane sztyblety";"TataKobasa";"599,90"
306;1;"Skórzane sztyblety";"TataKobasa";"599,90"
